ITEM_ID,TITLE
1080730,谁还在背单词.研究生入学考试英语词汇.第2版
1266739,Objective-C程序设计入门与实践
1498232,好人难寻
1257185,到灯塔去
553267,伍尔夫作品精粹
1449251,城市与狗
942237,绿里奇迹
901590,美第奇匕首
1106476,价值起源.第2版
E090632,Harry Potter : the complete series /
E090664,Harry Potter and the philosopher's stone. Slytherin / 20th anniversary edition.
1592893,人工神经网络在环境科学与工程中的设计应用
1313748,MATLAB神经网络超级学习手册
1072055,面试英语口语大全
975236,面试英语7日通
E090517,Complex analysis /
E078473,Probability / 2nd ed.
1065366,毛泽东与共和国重大决策纪实
1280641,Verilog数字系统设计教程.第3版
879629,设计与验证:Verilog HDL
1509468,勇敢的芯伴你玩转Xilinx FPGA
1551295,Spark编程基础
1480402,大数据技术原理与应用:概念、存储、处理、分析与应用.第2版
1598289,大数据实训案例:电信用户行为分析:Scala版:telecom user behavior analysis:scala version
763320,陈忠实文集.肆.1988-1992
867531,中国名城.下卷
1173101,生物医学传感器原理与应用.第2版
1545999,曼昆《宏观经济学》(第9版) 笔记和课后习题详解
1431655,宏观经济学
1580263,黑暗的左手
1231054,致死的疾病:为了使人受教益和得醒悟而做的基督教心理学解说
1330551,故事:材质·结构·风格和银幕剧作的原理
1223059,伊斯坦布尔假期
870762,剑桥插图大英帝国史
870765,剑桥插图法国史
654058,曙光示真
1323631,娜娜
1327917,现代控制理论及其MATLAB实现
1552248,微积分
1387958,Revit建筑应用实训教程
1070899,滚动轴承分析
1070275,滚动轴承分析
509095,滚动轴承的分析方法
1504963,程序化广告:个性化精准投放实用手册
1560356,微信小程序营销攻略:精准引流·场景转化·运营推广
635607,历年大学英语四、六级考试真题解析.四级篇
1473627,高等数学分层练习
1213943,SQL Server数据库管理及应用教程
781036,万历皇帝.下册
1531589,当代空间问题的辩证向度研究
1153417,传奇黄永玉
904590,我的行走笔记
1333496,愿我的世界总有你二分之一
E091647,Quantum optics /
733676,非线性光纤光学原理及应用
1566344,SOLIDWORKS高级教程简编:2018版.第9版
1332242,SolidWorks Composer使用指南:2014版
910099,诗学
820849,野性的呼唤
1094487,西风颂
716692,“天国之子”和他的世俗王朝:洪秀全与太平天国
841572,高等数学同步辅导
1520167,趣学算法
1469765,精通Android Studio
1587686,疯狂Android讲义.第4版
1317694,疯狂Java讲义.第3版
1583717,ASP.NET网站设计教程
1590273,Adobe XD功能解析与应用
1578433,濮良贵《机械设计》 (第9版) 笔记和课后习题 (含考研真题) 详解
1048595,传热学习题解答
735155,传热学:重点难点及典型题精解
1582873,Flash CC动画设计与制作
1469652,Flash CC动画制作与设计实战从入门到精通:视频教学版
1577106,"以匠心, 致设计:网易UEDC用户体验设计"
1073638,产品设计工艺经典案例解析
1401890,设计之道:工业产品设计与手绘表达
1052366,Sketching产品设计手绘技法:从创意构思到产品实现的技法攻略
744842,创新的扩散
1228493,Visual Basic.NET经典游戏编程开发
1223403,Visual Basic.NET程序设计教程
1371810,Excel 2013 VBA编程与实践
1312407,数据结构:C语言版
818641,嵌入式C语言编程与Microchip PIC
1492060,工程热力学学习辅导与习题解答.第3版
1484828,MATLAB基础与应用教程
1037948,公路平面交叉口交通安全设计理论与方法
905536,物理化学辅导及习题精解:天大第四版.新版
1538391,舒云集
593097,张爱玲散文系列 下卷
593093,张爱玲散文系列 上卷
1086514,核壳结构微纳米材料应用技术
1478781,材料的透射电子显微学与衍射学
1313499,材料结构缺陷与性能
1356574,大学物理竞赛精选详解350题
1579044,互换性与测量技术基础.第2版
882445,我的世界下雪了
1467346,Android面试宝典
1277483,数学建模入门与提高
1268125,藏地白皮书
1320454,德语语法关键词
952151,淘金高阶1-4级英语词汇:巅峰版
1067827,大品牌 小故事
1535980,金融专业英语阅读.第3版
1543713,直通德福:德语强化教程.A1:testDaF kursbuch.A1
1543716,"直通德福:德语强化教程.A1,练习册:testDaF.A1,Arbeitsbuch"
1518468,普拉提核心功能解剖学:核心稳定性高效训练图解
1577646,叶嘉莹说陶渊明饮酒及拟古诗
845921,人体骨骼数字模型仿真学
1363476,人体解剖学
1457294,追月楼
1467732,零基础漫画素描入门
1543699,刺客信条:枭雄艺术设定集
1136093,悲惨世界
1545458,心是孤独的猎手
1337800,凰权
1337797,凰权
841104,兄弟
915876,按时长大:青春成长小说
1340394,离散时间信号处理
1386205,编程之法:面试和算法心得
1479128,希腊棺材之谜.第5版
641779,数学分析(上册)
1118285,线性代数.第3版
862544,线性代数
1300672,线性代数习题精解及考研辅导.第2版
888256,新概念英语之 (全新全绎).1
1204291,中子衍射技术及其应用
1362813,林清玄作品
1565653,机械设计:轴与轴承
1361791,营销策划理论与实务
1425704,赢利模式：企业战略的原点
1527205,互联网时代:赢利模式的颠覆
1436251,营销管理
1595368,Xilinx FPGA权威设计指南:基于Vivado 2018集成开发环境
1420732,通信IC设计
1490110,手把手教你学FPGA设计:基于大道至简的至简设计法
